car_model,price,year_model,kms
Volkswagen Jetta 1.4 Tsi Comfortline,$72.000.000,2020,52.124
Volkswagen Jetta 2.0 2014,$27.900.000,2014,99.000
Volkswagen Jetta 2009,$24.300.000,2009,158.000
"Volkswagen Jetta TSI COMFORTLINE AT 1,4",$68.900.000,2020,41.590
"Volkswagen Jetta TSI COMFORTLINE TP 1,4",$87.900.000,2022,5.210
Volkswagen Jetta 2.5 Highline,$63.000.000,2017,54.300
Volkswagen Jetta Comfortline,$69.900.000,2020,47.810
Volkswagen Jetta 2.0 Europa,$32.800.000,2013,80.500
Volkswagen Jetta 1.4 Tsi Sportline,$74.900.000,2019,44.100
Volkswagen Jetta 2.0 Trendline,$34.500.000,2012,88.500
Volkswagen Jetta 2.0 Europa,$33.000.000,2012,68.000
Volkswagen Jetta 1.4 Tsi Aut,$77.500.000,2019,25.000
Volkswagen Jetta 2.0 Trendline,$31.000.000,2012,136.000
Volkswagen Jetta 2.5 Comfortline,$46.900.000,2014,78.000
Volkswagen Jetta 2.0 Comfortline,$45.900.000,2015,77.000
Volkswagen Jetta 2.5 Trendline,$36.900.000,2012,58.800
Volkswagen Jetta Trendline,$45.900.000,2015,87.096
Volkswagen Jetta 1.4 Tsi Comfortline,$64.500.000,2019,69.000
Volkswagen Jetta Trendline,$36.900.000,2012,102.700
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$33.900.000,2014,80.500
Volkswagen Jetta 2.0 Trendline,$56.000.000,2017,115.000
Volkswagen Jetta 1.8 Gli,$44.000.000,2014,115.000
Volkswagen Jetta 2.0 Europa,$30.900.000,2014,104.000
Volkswagen Jetta Trendline 2.0,$34.900.000,2013,120.600
Volkswagen Jetta Gli 1.6 B2+,$140.000.000,2020,56.000
Volkswagen Jetta Highline,$115.990.000,2024,0
Volkswagen Jetta highline 2.5,$56.000.000,2015,82.600
Volkswagen Jetta High Line,$115.990.000,2023,0
Volkswagen Jetta 2.5 Trendline,$45.800.000,2012,56.000
Volkswagen Jetta 2.0 Trendline,$29.900.000,2012,99.000
Volkswagen Jetta Confortline 2.5,$38.000.000,2011,122.800
Volkswagen Jetta 2.5 Comfortline,$42.000.000,2012,99.609
Volkswagen Jetta 1.4 Tsi Highline,$109.900.000,2023,16.000
Volkswagen Jetta comfortline 1.4,$67.000.000,2019,74.500
Volkswagen Jetta 1.4 Tsi Highline,$72.000.000,2019,60.800
Volkswagen Jetta trendline 2.0 MT,$35.000.000,2013,119.000
Volkswagen Jetta new GLI 2.0 turbo AT,$122.800.000,2020,47.000
Volkswagen Jetta 2.0 Cc2000 Automatico,$26.900.000,2009,140.500
Volkswagen Jetta 2.0,$30.000.000,2009,141.500
